Type,Wanted station,#,CS,Info1,cx,Rx frequency MHz,KTBF dBm,Polar,Interferer,#,CS,Info1,Tx frequency MHz,Unwanted Pr dBm,Polar,TD dB,Cumulated TD dB,IRF dB,IRF from,XPD dB,Tx pow dBm,Tx BW kHz,Tx addloss dB,Tx losses dB,Tx antgain dB,Tx main OAA,Tx ant att dB,Rx BW kHz,Rx losses dB,Rx ant gain dB,Rx main OAA,Rx ant att dB,Distance m,Prop loss dB,Tx az,Tx tilt,Rx az,Rx tilt,Wind turbine unwanted power (dBm),Tx->Rx az,Tx->Rx tilt
Microwave (wanted),FREDERICK,23,X_1008933,FAA 110533,1,7765,-94,H,MD,1,N   153584,ST INIGOES,7900,-180.43,V,0,0,0,IRF MASK,12.8,53.38,6880,0,0,40,140.31,50,30000,0,40.3,26.71,38.13,177028.7,213.14,144.3,39,122,-0.3,-999,328.7,-0.4
Microwave (wanted),FREDERICK,23,X_1008933,FAA 110533,1,7765,-94,H,MD,2,AR  120812,FT MEADE,7901.167,-187.67,V,0,0,0,IRF MASK,19.4,22.73,94,0,0,58,57.66,68,30000,0,40.3,2.77,24.94,77068.45,196.32,249,16,122,-0.3,-999,304.8,0.1
Microwave (wanted),FREDERICK,23,X_1008933,FAA 110533,1,7765,-94,H,MD,3,AR  130712,FT DETRICK,7901.167,-121.13,V,0.01,0.01,0,IRF MASK,17.4,24.73,94,0,0,58,140.69,68,30000,0,40.3,7.17,28.64,9716.31,130.07,142,40,122,-0.3,-999,308.8,2.6
Microwave (wanted),FREDERICK,23,X_1008933,FAA 110533,1,7765,-94,H,MD,4,AR  130728,FT DETRICK,7901.167,-123.13,V,0.01,0.01,0,IRF MASK,17.4,22.73,94,0,0,58,60.87,68,30000,0,40.3,7.17,28.64,9716.31,130.07,249,17,122,-0.3,-999,308.8,2.6
Microwave (wanted),FREDERICK,23,X_1008933,FAA 110533,1,7765,-94,H,MD,5,AR  130756,FT DETRICK,7901.167,-121.13,V,0.01,0.02,0,IRF MASK,17.4,24.73,94,0,0,58,60.87,68,30000,0,40.3,7.17,28.64,9716.31,130.07,249,17,122,-0.3,-999,308.8,2.6
Microwave (wanted),FREDERICK,23,X_1008933,FAA 110533,1,7765,-94,H,MD,6,AR  130766,FT MEADE,7901.167,-187.67,V,0,0.02,0,IRF MASK,19.4,22.73,94,0,0,62,138.34,72,30000,0,40.3,2.77,24.94,77068.45,196.32,144,38,122,-0.3,-999,304.8,0.1
Microwave (wanted),FREDERICK,23,X_1008933,FAA 110533,1,7765,-94,H,MD,7,AR  130767,FT MEADE,7901.167,-185.67,V,0,0.02,0,IRF MASK,19.4,24.73,94,0,0,58,137.95,68,30000,0,40.3,2.77,24.94,77068.45,196.32,145,38,122,-0.3,-999,304.8,0.1
Microwave (wanted),FREDERICK,23,X_1008933,FAA 110533,1,7765,-94,H,MD,8,AR  210709,FT MEADE,7901.302,-196.79,V,0,0.02,0,IRF MASK,19.4,13.73,94,0,0,58,158.88,68,30000,0,40.3,2.77,24.94,77068.46,196.44,107,11,122,-0.3,-999,304.8,0.1
Microwave (wanted),FREDERICK,23,X_1008933,FAA 110533,1,7765,-94,H,MD,9,AR  130729,FT DETRICK,7976.687,-121.21,V,0.01,0.03,0,IRF MASK,17.4,24.73,94,0,0,58,60.87,68,30000,0,40.3,7.17,28.64,9716.31,130.15,249,17,122,-0.3,-999,308.8,2.6
Microwave (wanted),FREDERICK,23,X_1008933,FAA 110533,1,7765,-94,H,MD,10,AR  170763,FT MEADE,7998.822,-189.75,V,0,0.03,0,IRF MASK,19.4,21.02,40000,0,0,58,57.66,68,30000,0,40.3,2.77,24.94,77068.46,196.69,249,16,122,-0.3,-999,304.8,0.1
