Type;Wanted station;#;CS;Info1;cx;Rx frequency MHz;KTBF dBm;Polar;Interferer;#;CS;Info1;Tx frequency MHz;Unwanted Pr dBm;Polar;TD dB;Cumulated TD dB;IRF dB;IRF from;XPD dB;Tx pow dBm;Tx BW kHz;Tx addloss dB;Tx losses dB;Tx antgain dB;Tx main OAA;Tx ant att dB;Rx BW kHz;Rx losses dB;Rx ant gain dB;Rx main OAA;Rx ant att dB;Distance m;Prop loss dB;Tx az;Tx tilt;Rx az;Rx tilt;Wind turbine unwanted power (dBm);Tx->Rx az;Tx->Rx tilt
Microwave (wanted);DENVER (DEN);1;1008222;FAA 231873;1;7452.500000;-102;V;FE Warren;784;AF 998676;;7427.500000;-107.20;H;1.15;1.15;0.0;IRF MASK;0.0;87.00;40000.00;0.00;0.00;51.00;58.54;61.00;5000.00;1.62;37.60;1.31;4.22;143322.34;215.96;117.0;19.0;354.8;-0.4;-999.0;353.4;-0.6
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;758;AF 156310;;8092.500000;-156.22;H;0.00;0.00;5.7;IRF MASK;0.0;58.70;18700.00;0.00;0.00;49.00;119.41;59.00;5000.00;2.32;37.60;0.90;1.99;161303.33;232.48;116.0;20.8;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;759;AF 157842;;8092.500000;-182.13;H;0.00;0.00;9.0;IRF MASK;0.0;32.00;40000.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.39;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;760;AF 187612;;8092.500000;-177.60;H;0.00;0.00;-0.0;IRF MASK;0.0;27.50;1790.00;0.00;0.00;58.00;119.37;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.39;116.0;21.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;761;AF 187638;;8092.500000;-185.60;H;0.00;0.00;0.0;IRF MASK;0.0;19.50;1410.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.39;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;762;AF 187642;;8092.500000;-178.80;H;0.00;0.00;-0.0;IRF MASK;0.0;26.30;2700.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.39;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;763;AF 187643;;8092.500000;-178.80;H;0.00;0.00;-0.0;IRF MASK;0.0;26.30;2700.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.39;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Peterson;764;AF 196761;;8092.500000;-206.87;H;0.00;0.00;8.5;IRF MASK;0.0;36.50;35800.00;0.00;0.00;44.00;115.47;52.15;5000.00;2.32;37.60;3.91;15.36;159267.95;246.59;116.2;20.6;174.8;0.0;-999.0;178.7;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;765;AF 199188;;8086.200000;-181.19;H;0.00;0.00;0.0;IRF MASK;0.0;23.90;968.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.38;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;765;AF 199188;;8092.500000;-181.20;H;0.00;0.00;-0.0;IRF MASK;0.0;23.90;968.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.39;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;766;AF 210309;;8087.811000;-180.20;H;0.00;0.00;0.0;IRF MASK;0.0;24.90;968.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.38;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;766;AF 210309;;8092.500000;-180.20;H;0.00;0.00;-0.0;IRF MASK;0.0;24.90;968.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.39;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;767;AF 210312;;8092.500000;-178.20;H;0.00;0.00;-0.0;IRF MASK;0.0;26.90;4940.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.39;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;768;AF 210317;;8092.500000;-175.80;H;0.00;0.00;-0.0;IRF MASK;0.0;29.30;2700.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.39;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;769;AF 210318;;8092.500000;-175.80;H;0.00;0.00;-0.0;IRF MASK;0.0;29.30;2700.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.39;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;770;AF 219417;;8092.500000;-178.80;H;0.00;0.00;-0.0;IRF MASK;0.0;26.30;2700.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.39;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;771;AF 219419;;8092.500000;-178.80;H;0.00;0.00;-0.0;IRF MASK;0.0;26.30;2700.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.39;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;772;AF 219423;;8065.229000;-172.65;H;0.00;0.00;0.0;IRF MASK;0.0;32.40;2190.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.34;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;772;AF 219423;;8092.500000;-172.70;H;0.00;0.00;-0.0;IRF MASK;0.0;32.40;2190.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.39;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;773;AF 229325;;8092.500000;-179.20;H;0.00;0.00;-0.0;IRF MASK;0.0;25.90;968.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.39;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
Microwave (wanted);GREELEY (GXY);2;1008222;FAA 231874;2;8092.500000;-102;V;Schriever;774;AF 229333;;8093.800000;-182.81;H;0.00;0.00;-0.0;IRF MASK;0.0;22.30;1700.00;0.00;0.00;58.00;121.59;68.00;5000.00;2.32;37.60;0.90;1.99;161303.33;228.39;224.0;35.0;174.8;0.0;-999.0;174.2;-0.7
