27/7/2026 18:55:27

Type;Wanted station;#;CS;Info1;cx;Rx frequency MHz;KTBF dBm;Polar;Interferer;#;CS;Info1;Tx frequency MHz;Unwanted Pr dBm;Polar;TD dB;Cumulated TD dB;IRF dB;IRF from;XPD dB;Tx pow dBm;Tx BW kHz;Tx addloss dB;Tx losses dB;Tx antgain dB;Tx main OAA;Tx ant att dB;Rx BW kHz;Rx losses dB;Rx ant gain dB;Rx main OAA;Rx ant att dB;Distance m;Prop loss dB;Tx az;Tx tilt;Rx az;Rx tilt;Wind turbine unwanted power (dBm);Tx->Rx az;Tx->Rx tilt
Microwave (wanted);PASCO;2;X_1008184;FAA 090400;1;7927.500000;-102;V;Everett;111;N 099856-2;;7900.000000;-288.03;H;0.00;0.00;0.0;IRF MASK;0.0;-22.00;4200.00;3.00;0.00;30.00;67.48;31.15;5000.00;1.22;41.10;166.70;47.80;304389.59;253.96;190.0;34.4;143.1;0.3;-999.0;308.0;-1.0
Microwave (wanted);PASCO;2;X_1008184;FAA 090400;1;7927.500000;-102;V;Everett;112;N 099856-1;;7900.000000;-288.03;H;0.00;0.00;0.0;IRF MASK;0.0;-22.00;4200.00;3.00;0.00;30.00;72.80;31.15;5000.00;1.22;41.10;166.70;47.80;304389.59;253.96;197.0;33.5;143.1;0.3;-999.0;308.0;-1.0
Microwave (wanted);CLE ELUM (QTY);8;X_1008825;FAA 240258;1;7745.000000;-99;V;Everett;111;N 099856-2;;7900.000000;-266.98;H;0.00;0.00;0.0;IRF MASK;0.0;-22.00;4200.00;3.00;0.00;30.00;65.70;31.15;10000.00;1.12;40.50;26.82;40.61;141732.38;239.60;190.0;34.4;284.0;0.3;-999.0;310.0;-0.2
Microwave (wanted);CLE ELUM (QTY);8;X_1008825;FAA 240258;1;7745.000000;-99;V;Everett;112;N 099856-1;;7900.000000;-266.98;H;0.00;0.00;0.0;IRF MASK;0.0;-22.00;4200.00;3.00;0.00;30.00;71.04;31.15;10000.00;1.12;40.50;26.82;40.61;141732.38;239.60;197.0;33.5;284.0;0.3;-999.0;310.0;-0.2
Microwave (wanted);STAMPEDE (SMP);9;X_1008825_;FAA 240257;1;8055.000000;-99;V;Everett;111;N 099856-2;;7900.000000;-248.86;H;0.00;0.00;0.0;IRF MASK;0.0;-22.00;4200.00;3.00;0.00;30.00;58.01;31.15;10000.00;1.22;40.50;143.76;46.90;105795.16;215.10;190.0;34.4;104.0;-0.7;-999.0;319.7;0.4
Microwave (wanted);STAMPEDE (SMP);9;X_1008825_;FAA 240257;1;8055.000000;-99;V;Everett;112;N 099856-1;;7900.000000;-248.86;H;0.00;0.00;0.0;IRF MASK;0.0;-22.00;4200.00;3.00;0.00;30.00;63.07;31.15;10000.00;1.22;40.50;143.76;46.90;105795.16;215.10;197.0;33.5;104.0;-0.7;-999.0;319.7;0.4
Microwave (wanted);MOSES LAKE (QTW);21;X_1008828_;FAA 100679;1;8045.000000;-99;V;Everett;111;N 099856-2;;7900.000000;-283.58;H;0.00;0.00;0.0;IRF MASK;0.0;-22.00;4200.00;3.00;0.00;30.00;76.53;31.15;10000.00;4.08;43.00;117.16;50.65;227311.89;245.70;190.0;34.4;55.3;-0.1;-999.0;296.5;-0.7
Microwave (wanted);MOSES LAKE (QTW);21;X_1008828_;FAA 100679;1;8045.000000;-99;V;Everett;112;N 099856-1;;7900.000000;-283.58;H;0.00;0.00;0.0;IRF MASK;0.0;-22.00;4200.00;3.00;0.00;30.00;82.12;31.15;10000.00;4.08;43.00;117.16;50.65;227311.89;245.70;197.0;33.5;55.3;-0.1;-999.0;296.5;-0.7
Microwave (wanted);MOHLER (QTU);26;X_1008829_;FAA 100687;1;8055.000000;-99;V;Everett;111;N 099856-2;;7900.000000;-298.55;H;0.00;0.00;0.0;IRF MASK;0.0;-22.00;4200.00;3.00;0.00;30.00;89.22;31.15;10000.00;5.74;45.00;28.22;47.92;298506.12;263.75;190.0;34.4;255.1;-0.4;-999.0;281.0;-0.9
Microwave (wanted);MOHLER (QTU);26;X_1008829_;FAA 100687;1;8055.000000;-99;V;Everett;112;N 099856-1;;7900.000000;-298.55;H;0.00;0.00;0.0;IRF MASK;0.0;-22.00;4200.00;3.00;0.00;30.00;94.99;31.15;10000.00;5.74;45.00;28.22;47.92;298506.12;263.75;197.0;33.5;255.1;-0.4;-999.0;281.0;-0.9
Microwave (wanted);MICA PEAK (QMI);34;X_1008831_;FAA 100713;1;8055.000000;-99;V;Everett;111;N 099856-2;;7900.000000;-291.60;H;0.00;0.00;0.0;IRF MASK;0.0;-22.00;4200.00;3.00;0.00;30.00;93.90;31.15;10000.00;2.56;40.50;12.15;32.01;390661.16;271.37;190.0;34.4;266.2;-0.8;-999.0;275.2;-1.1
Microwave (wanted);MICA PEAK (QMI);34;X_1008831_;FAA 100713;1;8055.000000;-99;V;Everett;112;N 099856-1;;7900.000000;-291.60;H;0.00;0.00;0.0;IRF MASK;0.0;-22.00;4200.00;3.00;0.00;30.00;99.68;31.15;10000.00;2.56;40.50;12.15;32.01;390661.16;271.37;197.0;33.5;266.2;-0.8;-999.0;275.2;-1.1

Linked to C:\ATDI\HTZ communications x64\BASE\XLS\XLS_130.XLSx
To create an XLSx template: save this file as C:\ATDI\HTZ communications x64\BASE\XLS\XLS_130.CSV
